sub_401000,0x401000,0x1000,0x48
sub_401050,0x401050,0x1050,0x29
sub_401080,0x401080,0x1080,0x5e
sub_4010E0,0x4010e0,0x10e0,0x99
sub_401180,0x401180,0x1180,0x441
Matrix_Mult_4015D0,0x4015d0,0x15d0,0x13c
Matrix_PushAndMulti_401710,0x401710,0x1710,0x2a
Matrix_Pop_401740,0x401740,0x1740,0x8
sub_401750,0x401750,0x1750,0x6d
sub_4017C0,0x4017c0,0x17c0,0xd9
sub_4018A0,0x4018a0,0x18a0,0xd3
nullsub_44,0x401980,0x1980,0x1
sub_401990,0x401990,0x1990,0x20c
sub_401BA0,0x401ba0,0x1ba0,0x75
sub_401C20,0x401c20,0x1c20,0xd3
sub_401D00,0x401d00,0x1d00,0x190
sub_401ED0,0x401ed0,0x1ed0,0x217
sub_4020F0,0x4020f0,0x20f0,0x118
sub_402210,0x402210,0x2210,0x1de
sub_4023F0,0x4023f0,0x23f0,0x13a
nullsub_45,0x404aa0,0x4aa0,0x1
nullsub_46,0x404ae0,0x4ae0,0x1
sub_405320,0x405320,0x5320,0x1de
sub_405500,0x405500,0x5500,0xba
sub_405640,0x405640,0x5640,0x3b
sub_405680,0x405680,0x5680,0x19
sub_4056A0,0x4056a0,0x56a0,0x19
sub_4056C0,0x4056c0,0x56c0,0xe3
sub_4057B0,0x4057b0,0x57b0,0x1a5
sub_405B60,0x405b60,0x5b60,0xf4
sub_405C60,0x405c60,0x5c60,0x71
sub_405CE0,0x405ce0,0x5ce0,0xbf
sub_405DA0,0x405da0,0x5da0,0x76
sub_405E20,0x405e20,0x5e20,0x5f
sub_405E80,0x405e80,0x5e80,0x110
Fix16::sub_406C20,0x406c20,0x6c20,0x25
Trailer::sub_407B90,0x407b90,0x7b90,0x11
Trailer::SetTruckCabAndTrailerCar_407BB0,0x407bb0,0x7bb0,0x1d
sub_407BD0,0x407bd0,0x7bd0,0x10a
Trailer::sub_407CE0,0x407ce0,0x7ce0,0x453
Trailer::sub_408140,0x408140,0x8140,0x50
Trailer::sub_408190,0x408190,0x8190,0x15
Trailer::DeAllocateCarPhysics_4081B0,0x4081b0,0x81b0,0x15
Trailer::sub_4081D0,0x4081d0,0x81d0,0x4b
Trailer::sub_408220,0x408220,0x8220,0x148
sub_408370,0x408370,0x8370,0x2f0
Fix16::Add_408660,0x408660,0x8660,0x13
Fix16::Multiply_408680,0x408680,0x8680,0x1d
Fix16::Negate_4086A0,0x4086a0,0x86a0,0xd
Fix16::sub_409300,0x409300,0x9300,0x32
Fix16::sub_409340,0x409340,0x9340,0x34
Car_8::dtor_40AC40,0x40ac40,0xac40,0x1
Fix16::Add_40AC50,0x40ac50,0xac50,0x2a
Fix16::sub_40AC80,0x40ac80,0xac80,0x2a
Fix16::Negate_40ACB0,0x40acb0,0xacb0,0x1f
Fix16::sub_40ACD0,0x40acd0,0xacd0,0x16
nullsub_47,0x40ad20,0xad20,0x1
nullsub_48,0x40ad60,0xad60,0x1
sub_40B560,0x40b560,0xb560,0x1c
nullsub_49,0x40b740,0xb740,0x1
nullsub_50,0x40b790,0xb790,0x1
sub_40B870,0x40b870,0xb870,0x18
sub_40B890,0x40b890,0xb890,0xeb
sub_40B980,0x40b980,0xb980,0xdb
sub_40BA60,0x40ba60,0xba60,0x122
Rozza_C88::Reset_40BB90,0x40bb90,0xbb90,0xb
Rozza_C88::sub_40BBA0,0x40bba0,0xbba0,0xa0
Rozza_C88::sub_40BC40,0x40bc40,0xbc40,0xc4
Rozza_C88::sub_40BD10,0x40bd10,0xbd10,0xbc
Rozza_C88::sub_40BDD0,0x40bdd0,0xbdd0,0x27
