sub_401000,0x401000,0x1000,0x48
sub_401050,0x401050,0x1050,0x29
sub_401080,0x401080,0x1080,0x5e
sub_4010E0,0x4010e0,0x10e0,0x93
sub_401180,0x401180,0x1180,0x13c
sub_4012C0,0x4012c0,0x12c0,0x2a
sub_4012F0,0x4012f0,0x12f0,0x8
sub_401300,0x401300,0x1300,0xd5
sub_4013E0,0x4013e0,0x13e0,0x1b2
sub_4015A0,0x4015a0,0x15a0,0xd3
nullsub_27,0x401680,0x1680,0x1
sub_401690,0x401690,0x1690,0x20c
sub_4018A0,0x4018a0,0x18a0,0x1a
sub_4018C0,0x4018c0,0x18c0,0xd3
sub_4019A0,0x4019a0,0x19a0,0x124
Fix16::copy_ctor_401AD0,0x401ad0,0x1ad0,0xb
Fix16::ctor_from_int_401AE0,0x401ae0,0x1ae0,0xf
Fix16::ctor_from_int_401AF0,0x401af0,0x1af0,0xe
Fix16::to_int_401B00,0x401b00,0x1b00,0x6
Fix16::ToFloat_401B10,0x401b10,0x1b10,0x9
Fix16::sum_401B20,0x401b20,0x1b20,0x1f
Fix16::subtract_401B40,0x401b40,0x1b40,0x1f
Fix16::multiply_401B60,0x401b60,0x1b60,0x24
Fix16::div_401B90,0x401b90,0x1b90,0x33
Fix16::multiply_401BD0,0x401bd0,0x1bd0,0x1e
Fix16::divide_401BF0,0x401bf0,0x1bf0,0x1e
ang16::clamp_401C10,0x401c10,0x1c10,0x2d
ang16::ctor_from_fix16_401C40,0x401c40,0x1c40,0x1c
ang16::ctor_401C60,0x401c60,0x1c60,0x1a
ang16::negate_401C80,0x401c80,0x1c80,0x25
Ang16::sub_401CB0,0x401cb0,0x1cb0,0x35
array_constuctor_401CF0,0x401cf0,0x1cf0,0x2a
Fix16_2::copy_401D20,0x401d20,0x1d20,0x16
Car_8::dtor_401D40,0x401d40,0x1d40,0x1
sub_401D50,0x401d50,0x1d50,0x42c
sub_402180,0x402180,0x2180,0x58
sub_4021E0,0x4021e0,0x21e0,0x1e
sub_402200,0x402200,0x2200,0x196
sub_4023E0,0x4023e0,0x23e0,0x272
sub_402660,0x402660,0x2660,0x1d8
sub_402840,0x402840,0x2840,0x13f
File::Read_402980,0x402980,0x2980,0x13
File::Write_4029A0,0x4029a0,0x29a0,0x13
File::GetFileSize_4029C0,0x4029c0,0x29c0,0x94
sub_402A80,0x402a80,0x2a80,0x98
sub_402B20,0x402b20,0x2b20,0xfd
File::ReadFileToBuffer_402C20,0x402c20,0x2c20,0xc4
File::WriteBufferToFile_402CF0,0x402cf0,0x2cf0,0xa9
File::AppendBufferToFile_402DA0,0x402da0,0x2da0,0xa9
File::CreateFile_402E50,0x402e50,0x2e50,0x58
File::Global_Close_402EB0,0x402eb0,0x2eb0,0x3a
File::Global_Close_UnChecked_402F00,0x402f00,0x2f00,0x22
File::File_Error_402F30,0x402f30,0x2f30,0x23
File::Global_Seek_402F60,0x402f60,0x2f60,0x47
File::sub_402FB0,0x402fb0,0x2fb0,0x4a
File::Global_Read_403000,0x403000,0x3000,0x40
sub_403040,0x403040,0x3040,0xec
File::SkipWhitespace_403130,0x403130,0x3130,0x30
File::Global_Open_403160,0x403160,0x3160,0x52
sub_4031C0,0x4031c0,0x31c0,0x3d3
sub_4035A0,0x4035a0,0x35a0,0x8
sub_4035B0,0x4035b0,0x35b0,0x2e
sub_4035E0,0x4035e0,0x35e0,0x6e
sub_403650,0x403650,0x3650,0x114
TurkishDelight_4::ctor_403770,0x403770,0x3770,0x3
Fix16::negate_403780,0x403780,0x3780,0x19
sub_4037A0,0x4037a0,0x37a0,0x3e
Fix16::less_than_4037E0,0x4037e0,0x37e0,0x16
