sub_401000,0x401000,0x48
sub_401050,0x401050,0x29
sub_401080,0x401080,0x5e
sub_4010E0,0x4010e0,0x99
sub_401180,0x401180,0x441
Matrix_Mult_4015D0,0x4015d0,0x13c
Matrix_PushAndMulti_401710,0x401710,0x2a
Matrix_Pop_401740,0x401740,0x8
sub_401750,0x401750,0x6d
sub_4017C0,0x4017c0,0xd9
sub_4018A0,0x4018a0,0xd3
nullsub_44,0x401980,0x1
sub_401990,0x401990,0x20c
sub_401BA0,0x401ba0,0x75
sub_401C20,0x401c20,0xd3
sub_401D00,0x401d00,0x190
sub_401ED0,0x401ed0,0x217
sub_4020F0,0x4020f0,0x118
sub_402210,0x402210,0x1de
sub_4023F0,0x4023f0,0x13a
nullsub_45,0x404aa0,0x1
nullsub_46,0x404ae0,0x1
sub_405320,0x405320,0x1de
sub_405500,0x405500,0xba
sub_405640,0x405640,0x3b
sub_405680,0x405680,0x19
sub_4056A0,0x4056a0,0x19
sub_4056C0,0x4056c0,0xe3
sub_4057B0,0x4057b0,0x1a5
sub_405B60,0x405b60,0xf4
sub_405C60,0x405c60,0x71
sub_405CE0,0x405ce0,0xbf
sub_405DA0,0x405da0,0x76
sub_405E20,0x405e20,0x5f
sub_405E80,0x405e80,0x110
Fix16::sub_406C20,0x406c20,0x25
sub_407B90,0x407b90,0x11
Car_A4_10::sub_407BB0,0x407bb0,0x1d
sub_407BD0,0x407bd0,0x10a
Car_A4_10::sub_407CE0,0x407ce0,0x453
Car_A4_10::sub_408140,0x408140,0x50
Car_A4_10::sub_408190,0x408190,0x15
Car_A4_10::sub_4081B0,0x4081b0,0x15
Car_A4_10::sub_4081D0,0x4081d0,0x4b
Car_A4_10::sub_408220,0x408220,0x148
sub_408370,0x408370,0x2f0
Fix16::sub_408660,0x408660,0x13
Fix16::sub_408680,0x408680,0x1d
Fix16::sub_4086A0,0x4086a0,0xd
Fix16::sub_409300,0x409300,0x32
sub_409340,0x409340,0x34
Car_8::dtor_40AC40,0x40ac40,0x1
Fix16::sub_40AC50,0x40ac50,0x2a
Fix16::sub_40AC80,0x40ac80,0x2a
Fix16::sub_40ACB0,0x40acb0,0x1f
sub_40ACD0,0x40acd0,0x16
nullsub_47,0x40ad20,0x1
nullsub_48,0x40ad60,0x1
sub_40B560,0x40b560,0x1c
nullsub_49,0x40b740,0x1
nullsub_50,0x40b790,0x1
sub_40B870,0x40b870,0x18
sub_40B890,0x40b890,0xeb
sub_40B980,0x40b980,0xdb
sub_40BA60,0x40ba60,0x122
Rozza_C88::sub_40BB90,0x40bb90,0xb
Rozza_C88::sub_40BBA0,0x40bba0,0xa0
Rozza_C88::sub_40BC40,0x40bc40,0xc4
Rozza_C88::sub_40BD10,0x40bd10,0xbc
Rozza_C88::sub_40BDD0,0x40bdd0,0x27
Rozza_C88::ctor_40BE00,0x40be00,0x35
Rozza_C88::dtor_40BE40,0x40be40,0x28
nullsub_51,0x40e3b0,0x1
nullsub_52,0x40e3f0,0x1
nullsub_53,0x40edb0,0x1
nullsub_54,0x40ee00,0x1
unknown_libname_2,0x40ef10,0xa
infallible_turing::release_40EF20,0x40ef20,0x13
root_sound::CreateSoundObject_40EF40,0x40ef40,0x3b
root_sound::sub_40EF80,0x40ef80,0xa
root_sound::Service_40EFA0,0x40efa0,0xa
root_sound::AddSoundObject_40EFB0,0x40efb0,0x12
root_sound::FreeSoundEntry_40EFD0,0x40efd0,0x12
root_sound::LoadStyle_40EFF0,0x40eff0,0x12
root_sound::sub_40F010,0x40f010,0xa
root_sound::sub_40F020,0x40f020,0xa
root_sound::sub_40F030,0x40f030,0x1c
root_sound::sub_40F050,0x40f050,0x17
root_sound::sub_40F070,0x40f070,0x12
root_sound::sub_40F090,0x40f090,0x12
root_sound::SetSfxVol_40F0B0,0x40f0b0,0x2e
root_sound::SetCDVol_40F0F0,0x40f0f0,0x2e
root_sound::GetCDVol_40F120,0x40f120,0xa
root_sound::Release_40F130,0x40f130,0xa
root_sound::sub_40F140,0x40f140,0xa
root_sound::GetAudioDriveLetter_40F150,0x40f150,0xa
root_sound::Set3DSound_40F160,0x40f160,0x12
root_sound::Get3DSound_40F180,0x40f180,0xa
nullsub_55,0x4116d0,0x1
nullsub_56,0x411710,0x1
root_sound::dtor,0x411e60,0x7
nullsub_57,0x412110,0x1
nullsub_58,0x412160,0x1
sound_obj::null_412240,0x412240,0x1
nullsub_3,0x412250,0x1
sound_obj::sub_412260,0x412260,0xeb
sound_obj::ProcessEntity_4123A0,0x4123a0,0xb5
sound_obj::ProcessType2_412490,0x412490,0x287
sound_obj::ProcessType1_412740,0x412740,0xdc
sound_obj::ProcessType8_412820,0x412820,0x22c
sound_obj::ProcessType9_412A60,0x412a60,0x11b
sound_obj::sub_412B80,0x412b80,0xba
sound_obj::sub_412C90,0x412c90,0x6c
sound_obj::sub_412D30,0x412d30,0xf
sound_obj::sub_412D40,0x412d40,0x4e
sound_obj::sub_412D90,0x412d90,0x140
sound_obj::sub_413000,0x413000,0x35
sound_obj::sub_413040,0x413040,0x43
sound_obj::sub_413090,0x413090,0x44
sound_obj::sub_4130E0,0x4130e0,0x35
sound_obj::sub_413120,0x413120,0x2ec
sound_obj::sub_413540,0x413540,0x53
sound_obj::sub_4136D0,0x4136d0,0x5c
sound_obj::ProcessType6_413760,0x413760,0x28b
sound_obj::sub_413A10,0x413a10,0x167
sound_obj::sub_413B90,0x413b90,0x4d
sound_obj::sub_413BE0,0x413be0,0xd
sound_obj::sub_413BF0,0x413bf0,0x56
sound_obj::sub_413C50,0x413c50,0xbf
sound_obj::sub_413D10,0x413d10,0x1ca
sound_obj::sub_4140C0,0x4140c0,0xf6
sound_obj::sub_414320,0x414320,0x3e
sound_obj::sub_4143A0,0x4143a0,0xf6
sound_obj::sub_4145E0,0x4145e0,0x4a
sound_obj::sub_414690,0x414690,0x34
sound_obj::sub_414710,0x414710,0xf2
sound_obj::sub_4149D0,0x4149d0,0x38
sound_obj::sub_414A50,0x414a50,0xfd
sound_obj::sub_414C90,0x414c90,0x54
sound_obj::sub_414D30,0x414d30,0xa1
sound_obj::sub_414EE0,0x414ee0,0x4c
sound_obj::sub_414F90,0x414f90,0x87
sound_obj::sub_415100,0x415100,0x4c
sound_obj::sub_415190,0x415190,0x107
