address,type,x-text
56e3d8,string,"File.cpp"
56e3e8,string,"wb"
56e3ec,string,"rb"
56e3f0,string,"ab"
56e3f4,string,"Couldn't CreateSurface\r\n"
56e410,string,"Couldn't Set coop level\r\n"
56e42c,string,"Couldn't GetProcAddress DInputCreate\r\n"
56e454,string,"Couldn't QI DDraw2\r\n"
56e46c,string,"Couldn't create DDraw\r\n"
56e484,string,"Couldn't LoadLibrary DDraw\r\n"
56e4a4,string,"DirectDrawCreate"
56e4b8,string,"DDRAW.DLL"
56e4c4,string,"DirectInputCreateA"
56e4d8,string,"Couldn't LoadLibrary DInput\r\n"
56e4f8,string,"DINPUT.DLL"
56e514,string,"Memory.cpp"
56e520,string,"Software\\DMA Design Ltd\\GTA2\\Network"
56e548,string,"PlayerName"
56e55c,string,"MapFiles"
56e568,string,"GMPFile"
56e570,string,"STYFile"
56e578,string,"SCRFile"
56e580,string,"Description"
56e58c,string,"PlayerCount"
56e59c,string,"%d"
56e5a0,string,"%s"
56e5a4,string,"%s\r\n%s"
56e5ac,string,"%s : %s"
56e5b8,string,"s_limit"
56e5c0,string,"f_limit"
56e5c8,string,"police"
56e5d0,string,"game_type"
56e5dc,string,"game_speed"
56e5e8,string,"game_time_limit"
56e5f8,string,"map_index"
56e604,string,"Unable to open file: %s in mmpfile: %s"
56e62c,string,"%s %d"
56e634,string,"netui13"
56e63c,string,"netui16"
56e644,string,"netui15"
56e64c,string,"netui18"
56e654,string,"netui17"
56e65c,string,"netui10"
56e664,string,"netui11"
56e66c,string,"netui12"
56e674,string,"netui22"
56e67c,string,"netui20"
56e684,string,"%d %s"
56e68c,string,"netui19"
56e694,string,"%s: %d"
56e69c,string,"netui21"
56e6ac,string,"Player Name"
56e6b8,string,"### ERROR ### \r\r\nDo Not Have Map %s"
56e6f0,string,"TB_THUMBPOSITION "
56e704,string,"%s's Game"
56e710,string,"netui14"
56e718,string,"netui08"
56e730,string,"NetworkX.cpp"
56e76c,string,"Junc: %d : (%d, %d)(%d, %d)"
56e790,string,"     "
56e798,string,"Junc: %d (%d, %d) n %d s %d w %d e %d"
56e9e4,string,"Unknown error"
56e9f4,string,"Output too big"
56ea04,string,"Invalid f32"
56ea10,string,"Invalid hex long integer"
56ea2c,string,"Invalid hex integer"
56ea40,string,"Invalid long integer"
56ea58,string,"Can't open output file"
56ea70,string,"Input file not found"
56ea88,string,"Token too big"
56ea98,string,"EOF in comment"
56eaa8,string,"Write error"
56eab4,string,"Number too big"
56eac4,string,"Invalid integer"
56ead4,string,"%s at line %d"
56eb14,string,"car%d%c%c"
56eb20,string,"nspraya"
56eb28,string,"car.cpp"
56eb30,string,"bdone"
56eb40,string,"sdone"
56eb48,string,"cdone"
56eb50,string,"nespray"
56eb74,string,"carinfo.cpp"
56eb9c,string,"char.cpp"
56ec5c,string,"(%d,%d):"
56ec68,string,"collide.cpp"
56ec94,string,"credits"
56ed14,string,"display.cpp"
56ed2c,string,"diutil.cpp"
56ed38,string,"SetProperty(DEADZONE, Y-Axis) failed.\n"
56ed60,string,"SetProperty(DEADZONE, X-Axis) failed.\n"
56ed88,string,"SetProperty(RANGE, Y-Axis) failed.\n"
56edac,string,"SetProperty(RANGE, X-Axis) failed.\n"
