address,type,x-text
56e744,widechar,"dummy prot"
56eba8,widechar,"num police peds in range screen : %d"
56ebf4,widechar,"num peds on screen : %d"
56eccc,widechar,"%d / %d"
57336c,widechar,"%s %s"
5733dc,widechar,"MILESLOGO"
5733f0,widechar,"BINKLOGO"
57351c,widechar,"%2d:%02d"
573530,widechar,";  %s"
57360c,widechar,"_"
573610,widechar,"%s %c"
57361c,widechar,"GTA2 V%d.%d"
57364c,widechar,"%s (%s)"
5736b0,widechar,"WFUSDFCF"
5736f8,widechar,"density:%d"
573710,widechar,"reverse_count : %d"
573738,widechar,"accuracy_count : %d"
573760,widechar,"dummy_chars : %d"
573784,widechar,"cars:%d"
573794,widechar,"unit cars : %d"
5737b4,widechar,"mission cars : %d"
5737d8,widechar,"prot. recycled cars : %d"
57380c,widechar,"recycled cars : %d"
573908,widechar,"Control %d"
573920,widechar,"RECORDING"
573934,widechar,"PLAYBACK"
573d24,widechar,"DisplayDraw  %3d"
573d48,widechar,"DisplayAdd   %3d"
573d6c,widechar,"LARGE"
573d78,widechar,"Total   %3d"
573d90,widechar,"Input   %3d"
573da8,widechar,"Audio   %3d"
573dc0,widechar,"Render  %3d"
573dd8,widechar,"Draw    %3d"
573df0,widechar,"Process %3d"
573e08,widechar,"Mem Total %5d"
573e24,widechar,"TextureSwaps:"
573e40,widechar,"Cache Misses:"
573e5c,widechar,"TextureUsed: "
573e78,widechar,"Polys Drawn:"
573e98,widechar,"Total Num Textures %d - %d bytes"
5740d8,widechar,"%3.2f"
574108,widechar,"revs:%3.3f %c"
574124,widechar,"speed:%3.3f(%d)"
57414c,widechar,"snap"
574158,widechar,"surface_mode = %d sbw = %d tpa = %d"
5741a0,widechar,"rear skid = %3.3f"
5741c4,widechar,"front skid = %3.3f"
5741ec,widechar,"mass = %3.3f"
574208,widechar,"pointingangrad = %3.3f"
574238,widechar,"theta = %s"
574250,widechar,"linvel = (%3.3f,%3.3f) angvelrad = %3.3f"
5742a8,widechar,"CM = (%3.3f,%3.3f) CP = (%3.3f,%3.3f,%3.3f)"
574338,widechar,"view camera: (%3.3f,%3.3f,%3.3f)"
574380,widechar,"aux game camera: (%3.3f,%3.3f,%3.3f)"
574448,widechar,"JACKSON"
574458,widechar,"IMOGEN"
574468,widechar,"HECTOR"
574478,widechar,"GRAEME"
574488,widechar,"FRANK"
574494,widechar,"ERIC"
5744a0,widechar,"DAVE"
5744ac,widechar,"COLIN"
5744b8,widechar,"BRIAN"
5744c4,widechar,"ALAN"
5744d0,widechar,"MUCHCASH"
575408,widechar,"%d:%d"
5755b4,widechar,"%d/%d fps"
5755f4,widechar,"peds crossing now!"
57561c,widechar,"phase: %d"
575630,widechar,"timer: %d"
575698,widechar,"(%s)%s"
5756bc,widechar,"%d%%"
5756e0,widechar,"%s:%s "
5756f0,widechar,"%s:%s_"
575700,widechar,"%s %s %s"
57573c,widechar,"K.F."
575778,widechar,"%s at (%3.1f, %3.1f, %3.1f) %s"
5788fe,widechar,"null)"
591de0,widechar,"GBH Group"
593230,widechar,"ALISDAIR"
593248,widechar,"BILLY"
593260,widechar,"BRIAN"
593278,widechar,"COLIN"
5932c0,widechar,"KEITH"
5932d8,widechar,"MARTIN"
5932f0,widechar,"STEPHEN"
593308,widechar,"WILLIAM"
593320,widechar,"ALISDAIR"
593338,widechar,"BILLY"
593350,widechar,"BRIAN"
593368,widechar,"COLIN"
5933b0,widechar,"KEITH"
5933c8,widechar,"MARTIN"
5933e0,widechar,"STEPHEN"
5933f8,widechar,"WILLIAM"
593410,widechar,"ALISDAIR"
593428,widechar,"BILLY"
593440,widechar,"BRIAN"
593458,widechar,"COLIN"
5934a0,widechar,"KEITH"
5934b8,widechar,"MARTIN"
5934d0,widechar,"STEPHEN"
5934e8,widechar,"WILLIAM"
593500,widechar,"ALISDAIR"
593518,widechar,"BILLY"
593530,widechar,"BRIAN"
593548,widechar,"COLIN"
593590,widechar,"KEITH"
5935a8,widechar,"MARTIN"
5935c0,widechar,"STEPHEN"
5935d8,widechar,"WILLIAM"
5935f0,widechar,"ALISDAIR"
593608,widechar,"BILLY"
593620,widechar,"BRIAN"
593638,widechar,"COLIN"
593680,widechar,"KEITH"
593698,widechar,"MARTIN"
5936b0,widechar,"STEPHEN"
5936c8,widechar,"WILLIAM"
5936e0,widechar,"ALISDAIR"
5936f8,widechar,"BILLY"
593710,widechar,"BRIAN"
593728,widechar,"COLIN"
593770,widechar,"KEITH"
593788,widechar,"MARTIN"
5937a0,widechar,"STEPHEN"
5937b8,widechar,"WILLIAM"
5937d0,widechar,"ALISDAIR"
5937e8,widechar,"BILLY"
593800,widechar,"BRIAN"
593818,widechar,"COLIN"
593860,widechar,"KEITH"
593878,widechar,"MARTIN"
593890,widechar,"STEPHEN"
5938a8,widechar,"WILLIAM"
5938c0,widechar,"ALISDAIR"
5938d8,widechar,"BILLY"
5938f0,widechar,"BRIAN"
593908,widechar,"COLIN"
593950,widechar,"KEITH"
593968,widechar,"MARTIN"
593980,widechar,"STEPHEN"
593998,widechar,"WILLIAM"
5939b0,widechar,"ALISDAIR"
5939c8,widechar,"BILLY"
5939e0,widechar,"BRIAN"
5939f8,widechar,"COLIN"
593a40,widechar,"KEITH"
593a58,widechar,"MARTIN"
593a70,widechar,"STEPHEN"
593a88,widechar,"WILLIAM"
593aa0,widechar,"ALISDAIR"
593ab8,widechar,"BILLY"
593ad0,widechar,"BRIAN"
593ae8,widechar,"COLIN"
593b30,widechar,"KEITH"
593b48,widechar,"MARTIN"
593b60,widechar,"STEPHEN"
593b78,widechar,"WILLIAM"
593b90,widechar,"ALISDAIR"
593ba8,widechar,"BILLY"
593bc0,widechar,"BRIAN"
593bd8,widechar,"COLIN"
593c20,widechar,"KEITH"
593c38,widechar,"MARTIN"
593c50,widechar,"STEPHEN"
593c68,widechar,"WILLIAM"
593c80,widechar,"ALISDAIR"
593c98,widechar,"BILLY"
593cb0,widechar,"BRIAN"
593cc8,widechar,"COLIN"
593d10,widechar,"KEITH"
593d28,widechar,"MARTIN"
593d40,widechar,"STEPHEN"
593d58,widechar,"WILLIAM"
593d70,widechar,"ALISDAIR"
593d88,widechar,"BILLY"
593da0,widechar,"BRIAN"
593db8,widechar,"COLIN"
593e00,widechar,"KEITH"
593e18,widechar,"MARTIN"
593e30,widechar,"STEPHEN"
593e48,widechar,"WILLIAM"
