address,type,x-text
5fe76c,string,"Movie\\intro.bik"
5fe77c,string,"Movie\\preintro.bik"
5fe8ac,string,"Software\\DMA Design Ltd\\GTA2\\Network"
5fe8d4,string,"PlayerName"
5fe8e0,string,"*.mmp"
5fe8e8,string,"MapFiles"
5fe8f4,string,"GMPFile"
5fe8fc,string,"STYFile"
5fe904,string,"SCRFile"
5fe90c,string,"Description"
5fe918,string,"PlayerCount"
5fea14,string,"SOFTWARE\\DMA Design Ltd\\GTA2"
5fea34,string,"\\Network"
601a9c,string,"Error: A GBH Graphic function was called without the DLL being loaded, or the function has not been fixed up."
601b0c,string,"GBH Graphics Error"
601b20,string,"Error Loading DLL."
601b34,string,"Error can't load DLL file: %s"
601b54,string,"gbh_DrawFlatRect"
601b68,string,"gbh_BlitBuffer"
601b78,string,"gbh_BlitImage"
601b88,string,"gbh_LoadImage"
601b98,string,"gbh_FreeImageTable"
601bac,string,"gbh_InitImageTable"
601bc0,string,"gbh_SetAmbient"
601bd0,string,"gbh_AddLight"
601be0,string,"gbh_ResetLights"
601bf0,string,"gbh_SetCamera"
601c00,string,"gbh_GetUsedCache"
601c14,string,"gbh_LockTexture"
601c24,string,"gbh_AssignPalette"
601c38,string,"gbh_FreeTexture"
601c48,string,"gbh_FreePalette"
601c58,string,"gbh_RegisterPalette"
601c6c,string,"gbh_UnlockTexture"
601c80,string,"SetShadeTableA"
601c90,string,"MakeScreenTable"
601ca0,string,"DrawLine"
601cac,string,"ConvertColourBank"
601cc0,string,"gbh_EndLevel"
601cd0,string,"gbh_BeginLevel"
601ce0,string,"gbh_EndScene"
601cf0,string,"gbh_BeginScene"
601d00,string,"gbh_RegisterTexture"
601d14,string,"gbh_ConvertColour"
601d28,string,"gbh_GetGlobals"
601d38,string,"gbh_SetColourDepth"
601d4c,string,"gbh_PrintBitmap"
601d5c,string,"gbh_SetWindow"
601d6c,string,"gbh_Plot"
601d78,string,"gbh_DrawTriangle"
601d8c,string,"gbh_DrawQuadClipped"
601da0,string,"gbh_DrawQuad"
601db0,string,"gbh_DrawTilePart"
601dc4,string,"gbh_DrawTile"
601dd4,string,"gbh_Init"
601de0,string,"gbh_CloseDLL"
601df0,string,"Error Patching DLL Function"
601e0c,string,"Can't Find Function Called %s"
601e2c,string,"gbh_InitDLL"
