address,type,name,symbol
5ed3bb,library,_malloc,
5ed3cd,library,__nh_malloc,
5ed3f9,library,__heap_alloc,
5ed46d,library,,??3@YAXPAX@Z
5ed478,library,_free,
5ed4e1,library,,??2@YAPAXI@Z
5ed854,library,__global_unwind2,
5ed896,library,__local_unwind2,
5ed92a,library,__NLG_Notify,
5ed950,library,__allshr,
5ed980,library,__allmul,
5ed9c0,library,__alldiv,
5eda70,library,__allshl,
5edb40,library,__ftol,
5edb70,library,_memmove,
5edeb0,library,_strrchr,
5eded7,library,_srand,
5edee1,library,_rand,
5edeff,library,_sprintf,
5edf51,library,,??_L@YGXPAXIHP6EX0@Z1@Z
5edfd3,library,,??_M@YGXPAXIHP6EX0@Z@Z
5ee053,library,,?__ArrayUnwind@@YGXPAXIHP6EX0@Z@Z
5ee0c7,library,_swprintf,
5ee16a,library,__cinit,
5ee197,library,_exit,
5ee1a8,library,__exit,
5ee28a,library,_fseek,
5ee316,library,_ftell,
5ee46e,library,_fclose,
5ee4c4,library,__fsopen,
5ee4e4,library,_fopen,
5ee4f7,library,_fread,
5ee5df,library,_fwrite,
5ee738,library,_wcscpy,
5ee75d,library,_wcsncpy,
5ee79a,library,_wcslen,
5ee7b7,library,__findfirst,
5ee881,library,__findnext,
5ee946,library,__findclose,
5ee965,library,___timet_from_ft,
5ee9c9,library,__itoa,
5eeb69,library,_wcscmp,
5eeb9e,library,__itow,
5eeca0,library,_strncpy,
5eef50,library,_strncmp,
5eef88,library,__strupr,
5ef5e3,library,_wcstombs,
5ef8c0,library,__chkstk,
5efaf2,library,_atol,
5efc42,library,_rewind,
5efc96,library,_bsearch,
5eff33,library,__amsg_exit,
5f0037,library,__close,
5f00ea,library,__write,
5f0297,library,__read,
5f048d,library,__lseek,
5f0527,library,__ioinit,
5f0730,library,__flush,
5f08c0,library,_strlen,
5f0952,library,__sopen,
5f0c0b,library,__setmode,
5f0c90,library,_memcpy,
5f0fdb,library,__callnewh,
5f0ff6,library,__GetLinkerVersion,
5f1023,library,___heap_select,
5f116b,library,__heap_init,
5f1342,library,___sbh_heap_init,
5f138a,library,___sbh_find_block,
5f13b5,library,___sbh_free_block,
5f16de,library,___sbh_alloc_block,
5f19e7,library,___sbh_alloc_new_region,
5f1a98,library,___sbh_alloc_new_group,
